=== cfg0: 3 channels, sizes [178, 41, 21], base bad=[20215, 28647]
  mask(0, 0, 0) (None, None, None): fails=28 score=39005 bad=[20215, 28647] (2s)
    *** NEW BEST 39005 ***
  mask(0, 1, 1, 1) (None, 2081, 1603, 1530): fails=72 score=38961 bad=[20215, 26215, 26960, 26963, 26965, 28647, 35416, 40306] (3s)
  mask(0, 1, 1, 1) (None, 2081, 1603, 5643): fails=170 score=38863 bad=[392, 722, 724, 726, 15696, 15697, 18800, 18803] (3s)
  mask(1, 0, 0, 0) (91, None, None, None): fails=206 score=38827 bad=[392, 715, 722, 724, 11789, 15360, 15363, 16020] (3s)
  mask(1, 0, 0, 0) (1203, None, None, None): fails=213 score=38820 bad=[392, 715, 722, 724, 11789, 15360, 15363, 16020] (4s)
  mask(1, 0, 0, 1) (91, None, None, 1530): fails=156 score=38877 bad=[715, 722, 724, 7389, 10187, 11789, 15360, 15363] (3s)
  mask(1, 0, 0, 1) (91, None, None, 5643): fails=233 score=38800 bad=[392, 715, 722, 724, 7389, 10187, 11789, 15360] (3s)
  mask(1, 0, 0, 1) (1203, None, None, 1530): fails=163 score=38870 bad=[715, 722, 724, 7389, 10187, 11789, 15360, 15363] (6s)
  mask(1, 0, 0, 1) (1203, None, None, 5643): fails=240 score=38793 bad=[392, 715, 722, 724, 7389, 10187, 11789, 15360] (4s)
  mask(1, 0, 1, 0) (91, None, 438, None): fails=203 score=38830 bad=[392, 715, 722, 724, 7389, 10187, 11789, 15360] (3s)
  mask(1, 0, 1, 0) (91, None, 1603, None): fails=147 score=38886 bad=[392, 715, 722, 724, 7389, 10187, 18800, 18803] (3s)
  mask(1, 0, 1, 0) (1203, None, 438, None): fails=210 score=38823 bad=[392, 715, 722, 724, 7389, 10187, 11789, 15360] (4s)
  mask(1, 0, 1, 0) (1203, None, 1603, None): fails=154 score=38879 bad=[392, 715, 722, 724, 7389, 10187, 18800, 18803] (3s)
  mask(1, 0, 1, 1) (91, None, 438, 1530): fails=99 score=38934 bad=[11789, 15360, 15363, 16020, 19692, 21548, 21549, 28035] (2s)
  mask(1, 0, 1, 1) (91, None, 438, 5643): fails=195 score=38838 bad=[392, 722, 724, 726, 11789, 15360, 15363, 15696] (2s)
  mask(1, 0, 1, 1) (91, None, 1603, 1530): fails=41 score=38992 bad=[21548, 21549, 28035, 28037, 28647, 40530] (2s)
  mask(1, 0, 1, 1) (91, None, 1603, 5643): fails=139 score=38894 bad=[392, 722, 724, 726, 15696, 15697, 18800, 18803] (2s)
  mask(1, 0, 1, 1) (1203, None, 438, 1530): fails=106 score=38927 bad=[11789, 15360, 15363, 16020, 19692, 28035, 28037, 28647] (2s)
  mask(1, 0, 1, 1) (1203, None, 438, 5643): fails=202 score=38831 bad=[392, 722, 724, 726, 11789, 15360, 15363, 15696] (3s)
  mask(1, 0, 1, 1) (1203, None, 1603, 1530): fails=48 score=38985 bad=[28035, 28037, 28647, 38540, 39589] (2s)
  mask(1, 0, 1, 1) (1203, None, 1603, 5643): fails=146 score=38887 bad=[392, 722, 724, 726, 15696, 15697, 18800, 18803] (3s)
  mask(1, 1, 0, 0) (91, 490, None, None): fails=241 score=38792 bad=[392, 715, 722, 724, 10187, 11789, 15360, 15363] (3s)
  mask(1, 1, 0, 0) (91, 2081, None, None): fails=242 score=38791 bad=[392, 715, 722, 724, 10187, 11789, 15360, 15363] (3s)
  mask(1, 1, 0, 0) (1203, 490, None, None): fails=248 score=38785 bad=[392, 715, 722, 724, 10187, 11789, 15360, 15363] (3s)
  mask(1, 1, 0, 0) (1203, 2081, None, None): fails=249 score=38784 bad=[392, 715, 722, 724, 10187, 11789, 15360, 15363] (3s)
  mask(1, 1, 0, 1) (91, 490, None, 1530): fails=184 score=38849 bad=[715, 722, 724, 7389, 10187, 11789, 15360, 15363] (3s)
  mask(1, 1, 0, 1) (91, 490, None, 5643): fails=257 score=38776 bad=[392, 715, 722, 724, 7389, 11789, 15360, 15363] (4s)
  mask(1, 1, 0, 1) (91, 2081, None, 1530): fails=200 score=38833 bad=[715, 722, 724, 7389, 10187, 11789, 15360, 15363] (4s)
  mask(1, 1, 0, 1) (91, 2081, None, 5643): fails=273 score=38760 bad=[392, 715, 722, 724, 7389, 11789, 15360, 15363] (4s)
  mask(1, 1, 0, 1) (1203, 490, None, 1530): fails=191 score=38842 bad=[715, 722, 724, 7389, 10187, 11789, 15360, 15363] (4s)
  mask(1, 1, 0, 1) (1203, 490, None, 5643): fails=264 score=38769 bad=[392, 715, 722, 724, 7389, 11789, 15360, 15363] (4s)
  mask(1, 1, 0, 1) (1203, 2081, None, 1530): fails=207 score=38826 bad=[715, 722, 724, 7389, 10187, 11789, 15360, 15363] (4s)
  mask(1, 1, 0, 1) (1203, 2081, None, 5643): fails=280 score=38753 bad=[392, 715, 722, 724, 7389, 11789, 15360, 15363] (4s)
  mask(1, 1, 1, 0) (91, 490, 438, None): fails=231 score=38802 bad=[392, 715, 722, 724, 7389, 10187, 11789, 15360] (3s)
  mask(1, 1, 1, 0) (91, 490, 1603, None): fails=175 score=38858 bad=[392, 715, 722, 724, 7389, 10187, 18800, 18803] (3s)
  mask(1, 1, 1, 0) (91, 2081, 438, None): fails=247 score=38786 bad=[392, 715, 722, 724, 7389, 10187, 11789, 15360] (4s)
  mask(1, 1, 1, 0) (91, 2081, 1603, None): fails=191 score=38842 bad=[392, 715, 722, 724, 7389, 10187, 18800, 18803] (3s)
  mask(1, 1, 1, 0) (1203, 490, 438, None): fails=238 score=38795 bad=[392, 715, 722, 724, 7389, 10187, 11789, 15360] (4s)
  mask(1, 1, 1, 0) (1203, 490, 1603, None): fails=182 score=38851 bad=[392, 715, 722, 724, 7389, 10187, 18800, 18803] (4s)
  mask(1, 1, 1, 0) (1203, 2081, 438, None): fails=254 score=38779 bad=[392, 715, 722, 724, 7389, 10187, 11789, 15360] (4s)
  mask(1, 1, 1, 0) (1203, 2081, 1603, None): fails=198 score=38835 bad=[392, 715, 722, 724, 7389, 10187, 18800, 18803] (4s)
  mask(1, 1, 1, 1) (91, 490, 438, 1530): fails=145 score=38888 bad=[7389, 10187, 11789, 15360, 15363, 16020, 19692, 21548] (3s)
  mask(1, 1, 1, 1) (91, 490, 438, 5643): fails=241 score=38792 bad=[392, 722, 724, 726, 7389, 10187, 11789, 15360] (4s)
  mask(1, 1, 1, 1) (91, 490, 1603, 1530): fails=87 score=38946 bad=[7389, 10187, 21548, 21549, 26960, 26963, 26965, 28035] (3s)
  mask(1, 1, 1, 1) (91, 490, 1603, 5643): fails=185 score=38848 bad=[392, 722, 724, 726, 7389, 10187, 15696, 15697] (3s)
  mask(1, 1, 1, 1) (91, 2081, 438, 1530): fails=161 score=38872 bad=[7389, 10187, 11789, 15360, 15363, 16020, 19692, 21548] (3s)
  mask(1, 1, 1, 1) (91, 2081, 438, 5643): fails=257 score=38776 bad=[392, 722, 724, 726, 7389, 10187, 11789, 15360] (3s)
  mask(1, 1, 1, 1) (91, 2081, 1603, 1530): fails=103 score=38930 bad=[7389, 10187, 21548, 21549, 26215, 26960, 26963, 26965] (3s)
  mask(1, 1, 1, 1) (91, 2081, 1603, 5643): fails=201 score=38832 bad=[392, 722, 724, 726, 7389, 10187, 15696, 15697] (3s)
  mask(1, 1, 1, 1) (1203, 490, 438, 1530): fails=152 score=38881 bad=[7389, 10187, 11789, 15360, 15363, 16020, 19692, 26960] (4s)
  mask(1, 1, 1, 1) (1203, 490, 438, 5643): fails=248 score=38785 bad=[392, 722, 724, 726, 7389, 10187, 11789, 15360] (4s)
