idx	deg	nvars	litbits	nmon	coefbits
787	4	22	24	253	77
788	4	15	295	66	599
789	2	22	16	26	22
790	2	6	6	9	9
791	2	26	24	18	44
792	4	7	5	44	12
793	2	17	20	22	26
794	4	25	6	591	13
795	2	15	16	20	20
796	2	13	27	26	33
797	2	23	24	24	30
798	2	20	24	24	24
799	4	7	6	36	12
800	4	16	296	78	605
801	1	7	20	8	24
802	2	19	295	15	304
803	2	18	14	15	21
804	2	9	5	11	6
805	2	46	24	33	47
806	2	3	6	6	8
807	4	16	6	229	13
808	2	20	16	26	23
809	2	9	14	17	20
810	2	18	6	18	10
811	2	11	15	22	21
812	2	17	6	23	10
813	2	11	27	14	48
814	2	36	24	41	48
815	2	9	6	18	10
816	2	22	296	17	305
817	2	45	296	35	301
818	2	16	24	18	27
819	8	12	24	330	117
820	4	20	20	402	32
821	2	18	24	16	34
822	2	18	20	22	26
823	4	4	6	41	12
824	2	38	24	27	29
825	8	21	6	18975	26
826	2	10	23	11	28
827	2	5	16	11	22
828	4	27	24	460	67
829	2	21	14	21	20
830	1	20	6	21	7
831	2	25	14	29	20
832	2	22	19	29	39
833	2	15	28	20	49
834	2	10	6	21	12
835	2	32	6	41	10
836	2	20	6	28	7
837	4	19	6	595	14
838	2	9	5	45	11
839	2	10	6	20	7
840	2	18	16	22	22
841	4	16	24	136	59
842	4	33	24	739	59
843	2	24	16	26	22
844	2	5	19	7	24
845	8	10	23	210	103
846	4	30	296	275	601
847	4	29	24	560	58
848	1	25	27	26	33
849	4	10	296	36	598
850	2	16	28	15	33
851	2	13	13	15	18
852	4	22	6	350	12
853	8	21	6	8855	27
854	4	20	11	295	23
855	4	6	6	85	13
856	2	5	15	7	22
857	2	5	26	11	33
858	2	10	6	14	6
859	2	27	296	21	306
860	2	27	6	31	8
861	2	17	20	23	26
862	4	43	24	465	56
863	2	7	27	8	32
864	2	23	24	23	46
865	2	17	15	21	20
866	2	24	19	48	25
867	2	14	28	17	34
868	4	25	6	591	12
869	2	34	28	24	57
870	2	10	28	20	34
871	2	25	6	29	11
872	2	17	16	23	22
873	4	26	6	460	13
874	2	7	28	7	33
875	2	12	6	15	10
876	2	14	6	17	10
877	4	9	5	21	11
878	2	22	6	26	9
879	2	14	16	18	22
880	2	6	20	12	26
881	4	14	5	120	11
882	2	2	28	4	33
883	4	7	6	44	13
884	2	20	28	20	57
885	2	17	24	20	47
886	2	21	24	15	28
887	4	5	6	61	14
888	2	22	16	29	37
889	4	26	6	490	16
890	2	10	6	9	11
891	2	29	24	33	31
892	2	24	24	325	37
893	1	6	27	6	32
894	2	16	24	16	30
895	1	24	16	24	23
896	2	7	20	14	26
897	4	18	27	228	85
898	1	4	15	4	20
899	2	28	296	22	301
900	2	2	5	5	6
901	2	26	23	31	28
902	4	33	24	698	60
903	2	28	25	34	31
904	1	6	24	6	29
905	2	26	24	30	43
906	2	16	16	16	21
907	2	13	20	25	26
908	2	22	6	26	6
909	4	8	24	15	57
910	2	15	24	14	46
911	1	9	28	9	56
912	2	16	20	21	25
913	2	16	20	12	40
914	1	7	24	7	29
915	4	19	16	325	56
916	2	22	18	30	24
917	4	6	15	73	29
918	4	25	6	461	12
919	2	49	24	34	29
920	4	10	6	66	12
921	2	20	6	210	13
922	1	8	24	8	47
923	4	23	6	493	12
924	2	14	25	9	52
925	2	28	6	30	11
926	2	15	20	18	26
927	2	19	28	24	34
928	2	25	24	29	33
929	2	7	6	15	10
930	1	10	6	10	10
931	2	21	6	26	6
932	8	53	24	-1	-1
933	2	7	6	14	11
934	2	6	5	21	6
935	2	12	20	78	31
936	2	13	6	13	10
937	2	11	16	14	23
938	4	18	23	78	54
939	4	19	24	91	56
940	4	33	24	276	73
941	4	11	6	36	14
942	2	20	6	210	13
943	2	27	20	30	26
944	2	29	16	34	21
945	2	27	28	31	54
946	2	25	6	34	12
947	4	23	16	493	28
948	2	18	24	13	28
949	2	12	6	13	6
950	4	28	24	462	59
951	2	44	24	31	43
952	2	22	6	23	6
953	2	8	15	10	32
954	2	16	6	20	6
955	2	29	24	33	30
956	2	34	24	38	29
957	2	12	6	24	7
958	4	28	24	210	58
959	4	11	23	28	56
960	2	5	19	11	25
961	2	16	13	15	19
962	2	22	24	26	44
963	2	20	6	28	6
964	2	15	6	21	10
965	2	28	24	32	47
966	2	14	295	10	318
967	2	10	14	20	21
968	2	30	6	38	11
969	2	30	24	35	28
970	4	24	6	401	13
971	4	26	15	406	28
972	2	22	28	28	34
973	2	17	23	12	47
974	8	34	24	17550	115
975	4	51	24	703	58
976	2	14	28	17	33
977	4	31	6	733	15
978	2	11	6	22	6
979	4	24	6	524	12
980	2	21	16	28	33
981	4	11	24	55	56
982	2	9	6	17	9
983	2	28	28	32	51
984	2	46	24	32	43
985	2	17	19	17	25
986	2	7	16	9	23
987	4	10	14	201	29
988	4	12	6	45	13
989	4	27	6	526	13
990	1	14	28	14	33
991	2	30	24	31	48
992	2	14	5	13	5
993	2	13	19	17	25
994	2	33	24	37	28
995	2	23	16	30	21
996	2	31	24	22	48
997	2	17	25	18	52
998	4	27	24	491	59
999	1	4	18	4	23
1000	4	16	24	170	57
1001	4	14	24	55	56
1002	2	18	6	21	10
1003	2	9	23	8	43
1004	2	15	28	15	56
1005	2	13	20	10	44
1006	2	27	24	31	27
1007	4	23	24	299	57
1008	4	54	24	780	60
1009	4	19	24	230	60
1010	2	17	24	12	52
1011	1	7	24	7	34
1012	4	7	6	99	13
1013	1	26	6	27	10
1014	4	27	24	491	77
1015	2	14	12	11	17
1016	2	15	24	20	30
1017	2	24	6	28	6
1018	4	14	6	166	13
1019	2	12	16	16	36
1020	2	11	16	23	22
1021	2	21	16	28	21
1022	2	10	6	21	7
1023	4	19	6	297	17
1024	2	6	5	7	5
1025	2	16	24	18	45
1026	1	6	20	7	25
1027	2	19	16	26	26
1028	2	24	6	24	11
1029	2	29	24	20	29
1030	2	50	296	40	301
1031	4	21	24	210	54
1032	4	32	6	812	12
1033	2	20	16	21	22
1034	4	17	5	190	13
